n_sku,ds,y
5,2016-07-02,3304.79
1,2016-07-03,5746.26
2,2016-07-03,61232.93
3,2016-07-03,44132.09
4,2016-07-03,2806.02
5,2016-07-03,3108.24
1,2016-07-04,9542.12
2,2016-07-04,38852.1
3,2016-07-04,47219.6
4,2016-07-04,9065.53
5,2016-07-04,1684.62
1,2016-07-05,9805.6
2,2016-07-05,64421.1
3,2016-07-05,52052.37
4,2016-07-05,8515.22
5,2016-07-05,1011.92
1,2016-07-06,9399.51
2,2016-07-06,69062.73
3,2016-07-06,50796.5
4,2016-07-06,7876.96
5,2016-07-06,3021.84
1,2016-07-07,9562.7
2,2016-07-07,77910.0
3,2016-07-07,25192.84
4,2016-07-07,9417.07
5,2016-07-07,3029.76
1,2016-07-08,6589.05
2,2016-07-08,90271.72
3,2016-07-08,28964.9
4,2016-07-08,4130.28
5,2016-07-08,3387.7
1,2016-07-09,8233.02
2,2016-07-09,54418.02
3,2016-07-09,26734.54
4,2016-07-09,3598.65
5,2016-07-09,3775.8
1,2016-07-10,7421.4
2,2016-07-10,52478.95
3,2016-07-10,47820.84
4,2016-07-10,3885.96
5,2016-07-10,2998.74
1,2016-07-11,8378.44
2,2016-07-11,46632.06
3,2016-07-11,46432.11
4,2016-07-11,8336.79
5,2016-07-11,1755.99
1,2016-07-12,9992.94
2,2016-07-12,79734.59
3,2016-07-12,51794.08
4,2016-07-12,9006.4
5,2016-07-12,2307.76
1,2016-07-13,9405.64
2,2016-07-13,69075.37
3,2016-07-13,53322.24
4,2016-07-13,8753.64
5,2016-07-13,3021.0
1,2016-07-14,8943.3
2,2016-07-14,84663.57
3,2016-07-14,49421.13
4,2016-07-14,9178.29
5,2016-07-14,3304.88
1,2016-07-15,11147.43
2,2016-07-15,77585.31
3,2016-07-15,33541.65
4,2016-07-15,10171.44
5,2016-07-15,2920.67
1,2016-07-16,8413.94
2,2016-07-16,92039.85
3,2016-07-16,26384.54
4,2016-07-16,4462.14
5,2016-07-16,3407.25
1,2016-07-17,6645.6
2,2016-07-17,61647.38
3,2016-07-17,41637.05
4,2016-07-17,3681.15
5,2016-07-17,3593.73
